,title,vote_average
1856,The Wild Thornberrys Movie,5.8
1857,Rugrats Go Wild,5.6
1858,Undercover Brother,5.5
1859,The Sisterhood of the Traveling Pants,6.3
1860,Kiss of the Dragon,6.4
1861,The House Bunny,5.6
1862,Beauty Shop,5.4
1863,Million Dollar Arm,6.6
1864,The Giver,6.4
1865,What a Girl Wants,5.8
1866,Jeepers Creepers 2,5.5
1867,Good Luck Chuck,5.5
1868,Cradle 2 the Grave,5.8
1869,The Hours,7.0
1870,She's the Man,6.4
1871,Mr. Bean's Holiday,6.1
1872,Anacondas: The Hunt for the Blood Orchid,4.9
1873,Blood Ties,6.0
1874,August Rush,7.1
1875,Elizabeth,7.1
1876,Bride of Chucky,5.5
1877,Tora! Tora! Tora!,6.9
1878,Spice World,4.7
1879,The Sitter,5.4
1880,Dance Flick,4.7
1881,The Shawshank Redemption,8.5
1882,Crocodile Dundee in Los Angeles,4.7
1883,Kingpin,6.7
1884,The Gambler,5.7
1885,August: Osage County,6.9
1886,Ice Princess,5.9
1887,A Lot Like Love,6.5
1888,Eddie the Eagle,7.2
1889,He Got Game,6.7
1890,Don Juan DeMarco,6.2
1891,Dear John,6.6
1892,The Losers,6.2
1893,Don't Be Afraid of the Dark,5.4
1894,War,6.0
1895,Punch-Drunk Love,6.9
1896,EuroTrip,6.5
1897,Half Past Dead,4.6
1898,Unaccompanied Minors,5.4
1899,"Bright Lights, Big City",4.7
1900,The Adventures of Pinocchio,5.0
1901,The Greatest Game Ever Played,6.9
1902,The Box,5.4
1903,The Ruins,5.6
1904,The Next Best Thing,4.3
1905,My Soul to Take,5.2
1906,The Girl Next Door,6.3
1907,Maximum Risk,5.2
1908,Stealing Harvard,4.4
1909,Legend,6.7
1910,Hot Rod,6.3
1911,Shark Night,4.9
1912,Angela's Ashes,7.0
1913,Draft Day,6.5
1914,Lifeforce,6.2
1915,The Conspirator,6.2
1916,Lords of Dogtown,7.0
1917,The 33,6.0
1918,Big Trouble in Little China,7.1
1919,Fly Me to the Moon,5.6
1920,Warrior,7.7
1921,Michael Collins,6.7
1922,Gettysburg,6.6
1923,Stop-Loss,6.1
1924,Abandon,4.6
1925,Brokedown Palace,6.2
1926,The Possession,5.8
1927,Mrs. Winterbourne,5.3
1928,Straw Dogs,5.5
1929,The Hoax,6.4
1930,Stone Cold,5.7
1931,The Road,6.8
1932,Sheena,5.0
1933,Underclassman,5.5
1934,Say It Isn't So,4.8
1935,The World's Fastest Indian,7.3
1936,Tank Girl,5.5
1937,King's Ransom,5.1
1938,Blindness,6.4
1939,BloodRayne,3.5
1940,Carnage,7.0
1941,Where the Truth Lies,5.9
1942,Cirque du Soleil: Worlds Away,6.1
1943,Without Limits,6.2
1944,Me and Orson Welles,6.6
1945,The Best Offer,7.7
1946,The Bad Lieutenant: Port of Call - New Orleans,6.0
1947,A Turtle's Tale: Sammy's Adventures,5.6
1948,Little White Lies,7.1
1949,Love Ranch,6.0
1950,The True Story of Puss 'n Boots,3.8
1951,Space Dogs,6.3
1952,The Counselor,5.0
1953,Ironclad,6.2
1954,Waterloo,7.0
1955,Kung Fu Jungle,6.5
1956,Red Sky,4.1
1957,Dangerous Liaisons,7.0
1958,On the Road,5.5
1959,Star Trek IV: The Voyage Home,6.9
1960,Rocky Balboa,6.5
1961,Scream 2,6.1
1962,Jane Got a Gun,5.4
1963,Think Like a Man Too,6.4
1964,The Whole Nine Yards,6.2
1965,Footloose,6.4
1966,Old School,6.6
1967,The Fisher King,7.2
1968,I Still Know What You Did Last Summer,5.1
1969,Return to Me,6.1
1970,Zack and Miri Make a Porno,6.1
1971,Nurse Betty,5.9
1972,The Men Who Stare at Goats,5.9
1973,Double Take,5.5
1974,"Girl, Interrupted",7.6
1975,Win a Date with Tad Hamilton!,5.5
1976,Muppets from Space,5.8
1977,The Wiz,5.9
1978,Ready to Rumble,4.7
1979,Play It to the Bone,5.7
1980,I Don't Know How She Does It,5.0
1981,Piranha 3D,5.3
1982,Beyond the Sea,6.5
1983,Meet the Deedles,4.1
1984,The Thief and the Cobbler,6.8
1985,The Bridge of San Luis Rey,5.4
1986,Faster,6.1
1987,Howl's Moving Castle,8.2
1988,Zombieland,7.2
1989,The Waterboy,5.9
1990,The Empire Strikes Back,8.2
1991,Bad Boys,6.5
1992,The Naked Gun 2½: The Smell of Fear,6.6
1993,Final Destination,6.4
1994,The Ides of March,6.5
1995,Pitch Black,6.7
1996,Someone Like You...,6.0
1997,Her,7.9
1998,Joy Ride,6.3
1999,The Adventurer: The Curse of the Midas Box,5.1
2000,Anywhere But Here,5.9
2001,The Crew,6.4
2002,Haywire,5.6
2003,Jaws: The Revenge,3.5
2004,Marvin's Room,6.6
2005,The Longshots,6.5
2006,The End of the Affair,6.6
2007,Harley Davidson and the Marlboro Man,6.1
2008,In the Valley of Elah,6.6
2009,Coco Before Chanel,6.6
2010,Forsaken,5.8
2011,Cheri,5.9
2012,Vanity Fair,5.5
2013,Bodyguards and Assassins,6.5
2014,1408,6.5
2015,Spaceballs,6.7
2016,The Water Diviner,6.8
2017,Ghost,6.9
2018,There's Something About Mary,6.5
2019,The Santa Clause,6.3
2020,The Rookie,6.5
2021,The Game Plan,6.0
2022,The Bridges of Madison County,7.3
2023,The Animal,4.6
2024,Gandhi,7.4
2025,The Hundred-Foot Journey,7.3
2026,The Net,5.6
2027,I Am Sam,7.2
2028,Son of God,5.9
2029,Underworld,6.6
2030,Derailed,6.1
2031,The Informant!,6.0
2032,Shadowlands,6.8
2033,Deuce Bigalow: European Gigolo,4.7
2034,Delivery Man,6.2
2035,Our Kind of Traitor,6.0
2036,Saving Silverman,5.4
2037,Diary of a Wimpy Kid: Dog Days,6.0
2038,Summer of Sam,6.3
2039,Jay and Silent Bob Strike Back,6.4
2040,The Glass House,5.4
2041,"Hail, Caesar!",5.7
2042,Josie and the Pussycats,5.3
2043,Homefront,6.4
2044,The Little Vampire,6.1
2045,I Heart Huckabees,6.2
2046,RoboCop 3,4.2
2047,Megiddo: The Omega Code 2,3.6
2048,Darling Lili,4.9
2049,Dudley Do-Right,3.8
2050,The Transporter Refueled,5.2
2051,The Libertine,5.9
2052,Black Book,7.2
2053,Joyeux Noël,7.2
2054,Hit & Run,5.5
2055,Mad Money,5.9
2056,Before I Go to Sleep,6.2
2057,Sorcerer,7.4
2058,Stone,5.2
2059,Moliere,6.7
2060,Out of the Furnace,6.5
2061,Michael Clayton,6.5
2062,My Fellow Americans,6.3
2063,Arlington Road,7.0
2064,Underdogs,6.0
2065,To Rome with Love,5.6
2066,Firefox,5.5
2067,"South Park: Bigger, Longer & Uncut",7.1
2068,Death at a Funeral,6.9
2069,Teenage Mutant Ninja Turtles III,5.1
2070,Hardball,6.3
2071,Silver Linings Playbook,6.9
2072,Freedom Writers,7.5
2073,For Colored Girls,7.0
2074,The Transporter,6.6
2075,Never Back Down,6.4
2076,The Rage: Carrie 2,5.1
2077,Away We Go,6.7
2078,Swing Vote,5.8
2079,Moonlight Mile,6.5
2080,Tinker Tailor Soldier Spy,6.6
2081,Molly,5.5
2082,The Beaver,6.3
2083,The Best Little Whorehouse in Texas,5.9
2084,eXistenZ,6.7
2085,Raiders of the Lost Ark,7.7
2086,Home Alone 2: Lost in New York,6.3
2087,Close Encounters of the Third Kind,7.2
2088,Pulse,5.0
2089,Beverly Hills Cop II,6.1
2090,Bringing Down the House,5.4
2091,The Silence of the Lambs,8.1
2092,Wayne's World,6.5
2093,Jackass 3D,6.4
2094,Jaws 2,5.9
2095,Beverly Hills Chihuahua,4.9
2096,The Conjuring,7.4
2097,Are We There Yet?,5.2
2098,Tammy,5.0
2099,School of Rock,6.7
2100,Mortal Kombat,5.4
2101,White Chicks,6.3
2102,The Descendants,6.7
2103,Holes,6.7
2104,The Last Song,6.9
2105,12 Years a Slave,7.9
2106,Drumline,6.2
2107,Why Did I Get Married Too?,6.1
2108,Edward Scissorhands,7.5
2109,Me Before You,7.6
2110,Madea's Witness Protection,5.9
2111,The French Connection,7.4
2112,Bad Moms,6.3
2113,Date Movie,3.6
2114,Return to Never Land,6.1
2115,Selma,7.4
2116,The Jungle Book 2,5.6
2117,Boogeyman,4.6
2118,Premonition,5.8
2119,The Tigger Movie,6.3
2120,Orphan,6.7
2121,Max,6.8
2122,Epic Movie,3.2
2123,Spotlight,7.8
2124,Lakeview Terrace,5.9
2125,The Grudge 2,5.2
2126,How Stella Got Her Groove Back,6.0
2127,Bill & Ted's Bogus Journey,5.9
2128,Man of the Year,5.8
2129,The Black Hole,6.1
2130,The American,5.8
2131,Selena,7.0
2132,Vampires Suck,4.2
2133,Babel,6.9
2134,This Is Where I Leave You,6.5
2135,Doubt,7.0
2136,Team America: World Police,6.6
2137,Texas Chainsaw 3D,5.3
2138,Copycat,6.4
2139,Scary Movie 5,4.6
2140,Paint Your Wagon,6.2
2141,Milk,7.1
2142,Risen,5.7
2143,Ghost Ship,5.3
2144,A Very Harold & Kumar Christmas,6.0
2145,Wild Things,6.3
2146,The Stepfather,5.4
2147,The Debt,6.3
2148,High Fidelity,7.0
2149,One Missed Call,4.7
2150,Eye for an Eye,5.8
2151,The Bank Job,6.6
2152,Eternal Sunshine of the Spotless Mind,7.9
2153,You Again,6.0
2154,Street Kings,6.3
2155,The World's End,6.7
2156,Nancy Drew,5.8
2157,Daybreakers,6.0
2158,She's Out of My League,5.9
2159,Monte Carlo,6.0
2160,Stay Alive,5.3
2161,Quigley Down Under,6.5
2162,Alpha and Omega,5.3
2163,The Covenant,5.2
2164,Stick It,6.3
2165,Shorts,5.1
2166,To Die For,6.7
2167,Nerve,7.1
2168,Appaloosa,6.3
2169,Vampires,5.8
2170,Psycho,8.2
2171,My Best Friend's Girl,5.4
2172,Endless Love,6.7
2173,Georgia Rule,5.6
2174,Under the Rainbow,4.9
2175,Ladyhawke,6.8
2176,Simon Birch,6.5
2177,Reign Over Me,7.1
2178,Into the Wild,7.8
2179,School for Scoundrels,5.6
2180,Silent Hill: Revelation 3D,5.0
2181,From Dusk Till Dawn,6.9
2182,Pooh's Heffalump Movie,6.4
2183,Home for the Holidays,6.3
2184,Kung Fu Hustle,7.2
2185,The Country Bears,4.3
2186,The Kite Runner,7.3
2187,21 Grams,7.2
2188,Paparazzi,5.8
2189,A Guy Thing,5.3
2190,Loser,5.0
2191,Capitalism: A Love Story,7.0
2192,The Greatest Story Ever Told,6.5
2193,Secret in Their Eyes,6.2
2194,Disaster Movie,3.0
2195,Armored,5.5
2196,The Man Who Knew Too Little,6.5
2197,What's Your Number?,6.2
2198,Lockout,5.8
2199,Envy,4.8
2200,Crank: High Voltage,5.9
2201,Bullets Over Broadway,7.0
2202,One Night with the King,6.1
2203,The Quiet American,6.4
2204,The Weather Man,6.0
2205,Undisputed,6.1
2206,Ghost Town,6.4
2207,12 Rounds,5.7
2208,Let Me In,6.7
2209,3 Ninjas Kick Back,4.5
2210,Be Kind Rewind,6.2
2211,Mrs Henderson Presents,6.4
2212,Triple 9,5.6
2213,Deconstructing Harry,7.3
2214,Three to Tango,5.4
2215,Burnt,6.3
2216,We're No Angels,5.6
2217,Everyone Says I Love You,6.5
2218,Death Sentence,6.5
2219,Everybody's Fine,6.5
2220,Superbabies: Baby Geniuses 2,1.9
2221,The Man,5.4
2222,Code Name: The Cleaner,4.7
2223,Connie and Carla,6.4
2224,Sweet Charity,6.5
2225,Inherent Vice,6.5
2226,Doogal,3.2
2227,Battle of the Year,5.9
2228,An American Carol,4.1
2229,Machete Kills,5.3
2230,Willard,5.8
2231,Strange Wilderness,4.7
2232,Topsy-Turvy,6.7
2233,Little Boy,7.0
2234,A Dangerous Method,6.2
2235,A Scanner Darkly,6.8
2236,Chasing Mavericks,7.0
2237,Alone in the Dark,3.1
2238,Bandslam,5.4
2239,Birth,5.9
2240,A Most Violent Year,6.5
2241,Passchendaele,6.3
2242,Flash of Genius,6.3
2243,I'm Not There.,6.6
2244,The Cold Light of Day,4.8
2245,The Brothers Bloom,6.8
2246,"Synecdoche, New York",7.4
2247,Princess Mononoke,8.2
2248,Bon voyage,5.7
2249,Can't Stop the Music,4.9
2250,The Proposition,7.1
2251,My All American,6.8
2252,Marci X,3.3
2253,Equilibrium,6.9
2254,The Children of Huang Shi,6.5
2255,The Yards,6.0
2256,The Oogieloves in the Big Balloon Adventure,2.2
2257,By the Sea,5.4
2258,Steamboy,6.4
2259,The Game of Their Lives,5.8
2260,All Good Things,5.9
2261,Rapa Nui,6.2
2262,CJ7,6.1
2263,The Visitors II: The Corridors of Time,5.8
2264,Dylan Dog: Dead of Night,4.5
2265,People I Know,5.5
2266,The Tempest,6.0
2267,Regression,5.3
2268,Three Kingdoms: Resurrection of the Dragon,6.6
2269,Butterfly on a Wheel,6.3
2270,Zambezia,5.3
2271,Ramanujan,5.0
2272,Dwegons,0.5
2273,Hands of Stone,6.1
2274,Survivor,5.4
2275,The Frozen Ground,6.1
2276,The Painted Veil,7.1
2277,The Baader Meinhof Complex,7.1
2278,Dances with Wolves,7.6
2279,Bad Teacher,5.4
2280,Sea of Love,6.7
2281,A Cinderella Story,6.1
2282,Scream,7.0
2283,Thir13en Ghosts,5.4
2284,The Shining,8.1
2285,Back to the Future,8.0
2286,House on Haunted Hill,5.5
2287,I Can Do Bad All By Myself,6.0
2288,Fight Valley,3.9
2289,The Switch,5.9
2290,Just Married,5.3
2291,The Devil's Double,6.5
2292,Thomas and the Magic Railroad,4.6
2293,The Crazies,6.2
2294,Spirited Away,8.3
2295,Firestorm,5.9
2296,The Bounty,6.5
2297,The Book Thief,7.4
2298,Sex Drive,6.0
2299,Leap Year,6.4
2300,The Fall of the Roman Empire,6.0
2301,Take Me Home Tonight,6.2
2302,Won't Back Down,5.8
2303,The Nutcracker,5.6
2304,Kansas City,6.1
2305,Indignation,6.8
2306,The Amityville Horror,6.0
2307,Adaptation.,7.3
2308,Land of the Dead,6.0
2309,Out of Inferno,5.8
2310,Fear and Loathing in Las Vegas,7.2
2311,The Invention of Lying,6.0
2312,Neighbors,6.2
2313,The Mask,6.6
2314,Big,6.9
2315,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5
2316,Legally Blonde,6.1
2317,Star Trek III: The Search for Spock,6.4
2318,The Exorcism of Emily Rose,6.3
2319,Deuce Bigalow: Male Gigolo,5.5
2320,Left Behind,3.7
2321,The Family Stone,6.2
2322,Barbershop 2:  Back in Business,5.6
2323,Bad Santa,6.5
2324,Austin Powers: International Man of Mystery,6.5
2325,My Big Fat Greek Wedding 2,5.5
2326,Diary of a Wimpy Kid: Rodrick Rules,6.3
2327,Predator,7.3
2328,Amadeus,7.8
2329,Prom Night,4.8
2330,Mean Girls,6.9
2331,Under the Tuscan Sun,6.4
2332,Gosford Park,6.8
2333,Peggy Sue Got Married,5.9
2334,Birdman,7.4
2335,Blue Jasmine,7.0
2336,United 93,6.9
2337,Honey,6.0
2338,Spy Hard,4.9
2339,The Fog,6.4
2340,Soul Surfer,6.9
2341,Catch-22,6.7
2342,Observe and Report,5.6
2343,Conan the Destroyer,5.8
2344,Raging Bull,7.7
2345,Love Happens,5.6
2346,Young Sherlock Holmes,6.7
2347,Fame,5.5
2348,127 Hours,7.0
2349,Small Time Crooks,6.4
2350,Center Stage,6.8
2351,Love the Coopers,5.4
2352,Catch That Kid,4.9
2353,Life as a House,7.2
2354,Steve Jobs,6.8
2355,"I Love You, Beth Cooper",5.1
2356,Youth in Revolt,5.9
2357,The Legend of the Lone Ranger,3.7
2358,The Tailor of Panama,6.2
2359,Blow Out,7.3
2360,Getaway,4.9
2361,The Ice Storm,6.9
2362,And So It Goes,5.7
2363,Troop Beverly Hills,5.6
2364,Being Julia,6.4
2365,Nine 1/2 Weeks,5.8
2366,Dragonslayer,6.5
2367,The Last Station,6.7
2368,Ed Wood,7.3
2369,Labor Day,6.7
2370,Mongol: The Rise of Genghis Khan,6.5
2371,RockNRolla,6.9
2372,Megaforce,3.5
2373,Hamlet,7.3
2374,Mao's Last Dancer,6.8
2375,Midnight Special,6.2
2376,Anything Else,6.2
2377,The Railway Man,6.7
2378,The White Ribbon,7.2
2379,Restoration,5.3
2380,The Wraith,5.9
2381,Salton Sea,7.0
2382,Metallica: Through the Never,6.7
2383,The Informers,4.4
2384,Carlos,6.7
2385,I Come with the Rain,5.6
2386,One Man's Hero,9.3
2387,Day of the Dead,6.9
2388,I Am Wrath,4.5
2389,Renaissance,6.7
2390,Red Sonja,5.0
2391,Red Lights,6.0
2392,Superbad,7.0
2393,Madea Goes to Jail,6.4
2394,Wolves,5.7
2395,Step Up 2: The Streets,6.5
2396,Hoodwinked!,5.9
2397,Hotel Rwanda,7.5
2398,Hitman,5.9
2399,Black Nativity,5.8
2400,The Prince,4.6
2401,City of Ghosts,5.4
2402,The Others,7.4
2403,Aliens,7.7
2404,My Fair Lady,7.4
2405,I Know What You Did Last Summer,5.6
2406,Let's Be Cops,6.4
2407,Sideways,6.9
2408,Beerfest,5.8
2409,Halloween,7.4
2410,Good Boy!,4.7
2411,The Best Man Holiday,6.7
2412,Smokin' Aces,6.4
2413,Saw: The Final Chapter,5.8
2414,40 Days and 40 Nights,5.2
2415,A Night at the Roxbury,5.9
2416,Beastly,6.0
2417,The Hills Have Eyes,6.1
2418,Dickie Roberts: Former Child Star,5.1
2419,"McFarland, USA",7.4
2420,Lottery Ticket,5.6
2421,ATL,6.0
2422,Pitch Perfect,7.3
2423,Summer Catch,4.8
2424,A Simple Plan,6.9
2425,They,4.6
2426,Larry the Cable Guy: Health Inspector,3.3
2427,The Adventures of Elmo in Grouchland,6.3
2428,Brooklyn's Finest,6.2
2429,55 Days at Peking,6.3
2430,Evil Dead,6.4
2431,My Life in Ruins,5.6
2432,American Dreamz,4.9
2433,Superman IV: The Quest for Peace,4.1
2434,How She Move,3.0
2435,Running Scared,7.0
2436,Bobby Jones: Stroke of Genius,5.5
2437,Shanghai Surprise,2.9
2438,The Illusionist,7.1
2439,Roar,5.6
2440,Veronica Guerin,6.8
2441,Escobar: Paradise Lost,6.1
2442,Southland Tales,5.2
2443,Dragon Hunters,6.5
2444,Damnation Alley,5.0
2445,The Apparition,4.5
2446,My Girl,7.0
2447,Fur: An Imaginary Portrait of Diane Arbus,5.8
2448,Wall Street,7.0
2449,Sense and Sensibility,7.2
2450,Becoming Jane,6.9
2451,Sydney White,6.0
2452,House of Sand and Fog,7.0
2453,Dead Poets Society,8.1
2454,Dumb and Dumber,6.5
2455,When Harry Met Sally...,7.3
2456,The Verdict,7.4
2457,Road Trip,5.9
2458,Varsity Blues,6.0
2459,The Artist,7.3
2460,The Unborn,4.8
2461,Moonrise Kingdom,7.6
2462,The Texas Chainsaw Massacre: The Beginning,5.9
2463,The Young Messiah,6.4
2464,The Master of Disguise,3.7
2465,Pan's Labyrinth,7.6
2466,See Spot Run,4.8
2467,Baby Boy,7.4
2468,The Roommate,5.3
2469,Joe Dirt,5.5
2470,Double Impact,5.3
2471,Hot Fuzz,7.4
2472,The Women,4.6
2473,Vicky Cristina Barcelona,6.7
2474,Arn: The Knight Templar,6.4
2475,Boys and Girls,5.4
2476,White Oleander,7.2
2477,Jennifer's Body,5.3
2478,Drowning Mona,5.4
2479,Radio Days,7.0
2480,Remember Me,6.9
2481,How to Deal,5.7
2482,My Stepmother is an Alien,5.3
2483,Philadelphia,7.6
2484,The Thirteenth Floor,6.8
2485,The Cookout,4.6
2486,Meteor,5.1
2487,Duets,5.5
2488,Hollywood Ending,6.4
2489,Detroit Rock City,6.7
2490,Highlander,6.8
2491,Things We Lost in the Fire,6.7
2492,Steel,4.3
2493,The Immigrant,6.2
2494,The White Countess,6.9
2495,Trance,6.5
2496,Soul Plane,4.7
2497,Welcome to the Sticks,6.8
2498,Good,6.3
2499,Enter the Void,7.2
2500,Vamps,4.8
2501,Hachi: A Dog's Tale,7.7
2502,Zulu,6.7
2503,The Homesman,6.4
2504,Juwanna Mann,4.2
2505,Ararat,5.7
2506,Madison,5.3
2507,Slow Burn,5.5
2508,Wasabi,6.2
2509,Slither,6.3
2510,Beverly Hills Cop,6.8
2511,Home Alone,7.1
2512,Three Men and a Baby,5.8
2513,Tootsie,6.9
2514,Top Gun,6.7
2515,"Crouching Tiger, Hidden Dragon",7.2
2516,American Beauty,7.9
2517,The King's Speech,7.6
2518,Twins,5.7
2519,The Yellow Handkerchief,6.4
2520,The Color Purple,7.7
2521,Tidal Wave,6.5
2522,The Imitation Game,8.0
2523,Private Benjamin,6.0
2524,Coal Miner's Daughter,7.2
2525,Diary of a Wimpy Kid,5.9
2526,Mama,6.0
2527,National Lampoon's Vacation,7.1
2528,Bad Grandpa,6.0
2529,The Queen,6.8
2530,Beetlejuice,7.1
2531,Why Did I Get Married?,6.1
2532,Little Women,7.0
2533,The Woman in Black,6.1
2534,When a Stranger Calls,5.4
2535,Big Fat Liar,5.6
2536,The Deer Hunter,7.8
2537,Wag the Dog,6.7
2538,The Lizzie McGuire Movie,5.7
2539,Snitch,5.8
2540,Krampus,5.9
2541,The Faculty,6.2
2542,What's Love Got to Do with It,6.9
2543,Cop Land,6.6
2544,Not Another Teen Movie,5.5
2545,End of Watch,7.2
2546,The Skulls,5.8
2547,The Theory of Everything,7.8
2548,Malibu's Most Wanted,4.7
2549,Where the Heart Is,6.9
2550,Lawrence of Arabia,7.8
2551,Halloween II,5.1
2552,Wild,7.0
2553,The Last House on the Left,6.2
2554,The Wedding Date,6.2
2555,Halloween: Resurrection,4.5
2556,The Princess Bride,7.6
2557,The Great Debaters,6.9
2558,Drive,7.4
2559,Confessions of a Teenage Drama Queen,5.1
2560,The Object of My Affection,5.6
2561,28 Weeks Later,6.5
2562,When the Game Stands Tall,6.3
2563,Because of Winn-Dixie,6.1
2564,Love & Basketball,7.4
2565,Grosse Pointe Blank,6.9
2566,All About Steve,4.7
2567,Book of Shadows: Blair Witch 2,4.3
2568,The Craft,6.3
2569,Match Point,7.3
2570,Ramona and Beezus,6.1
2571,The Remains of the Day,7.5
2572,Boogie Nights,7.5
2573,Nowhere to Run,5.5
2574,Flicka,6.1
2575,The Hills Have Eyes 2,5.2
2576,Urban Legends: Final Cut,4.4
2577,Tuck Everlasting,6.4
2578,The Marine,5.0
2579,Keanu,6.0
2580,Country Strong,5.9
2581,Disturbing Behavior,5.5
2582,The Place Beyond the Pines,6.8
2583,The November Man,6.0
2584,Eye of the Beholder,5.3
2585,The Hurt Locker,7.2
2586,Firestarter,5.9
2587,Killing Them Softly,5.8
2588,A Most Wanted Man,6.5
2589,Freddy Got Fingered,4.6
2590,VeggieTales: The Pirates Who Don't Do Anything,5.9
2591,U2 3D,6.7
2592,Highlander: Endgame,4.4
2593,Idlewild,5.1
2594,One Day,7.0
2595,Whip It,6.7
2596,Knockaround Guys,5.9
2597,Confidence,6.4
2598,The Muse,5.3
2599,De-Lovely,6.3
2600,New York Stories,6.2
2601,Barney's Great Adventure,2.9
2602,The Man with the Iron Fists,5.2
2603,Home Fries,4.8
2604,Here On Earth,5.4
2605,Brazil,7.5
2606,Raise Your Voice,6.0
2607,The Big Lebowski,7.8
2608,Black Snake Moan,6.6
2609,Dark Blue,6.5
2610,A Mighty Heart,6.7
2611,Whatever It Takes,5.0
2612,Boat Trip,4.7
2613,The Importance of Being Earnest,6.7
2614,The Love Letter,4.7
2615,Hoot,5.5
2616,In Bruges,7.4
2617,Peeples,5.6
2618,The Rocker,5.6
2619,Post Grad,5.0
2620,Promised Land,6.0
2621,Whatever Works,6.8
2622,The In Crowd,4.7
2623,The Three Burials of Melquiades Estrada,7.0
2624,Jakob the Liar,6.0
2625,Kiss Kiss Bang Bang,7.2
2626,Idle Hands,6.1
2627,Mulholland Drive,7.6
2628,Blood and Chocolate,5.4
2629,You Will Meet a Tall Dark Stranger,5.8
2630,Never Let Me Go,6.8
2631,The Company,7.0
2632,Transsiberian,6.5
2633,The Clan of the Cave Bear,4.8
2634,Crazy in Alabama,6.5
2635,Funny Games,6.3
2636,Listening,5.5
2637,Felicia's Journey,6.6
2638,Metropolis,8.0
2639,District B13,6.5
2640,Things to Do in Denver When You're Dead,6.7
2641,The Assassin,6.6
2642,Buffalo Soldiers,6.5
2643,The Return,7.4
2644,Ong Bak 2,6.0
2645,Centurion,5.9
2646,Silent Trigger,5.0
2647,The Midnight Meat Train,6.0
2648,Winnie Mandela,5.2
2649,The Son of No One,4.8
2650,All The Queen's Men,6.1
2651,The Good Night,5.7
2652,Bathory: Countess of Blood,5.6
2653,Khumba,5.8
2654,Automata,5.6
2655,Dungeons & Dragons: Wrath of the Dragon God,4.8
2656,Shinjuku Incident,6.7
2657,Pandaemonium,4.5
2658,Groundhog Day,7.4
2659,Magic Mike XXL,6.3
2660,Romeo + Juliet,6.7
2661,Sarah's Key,7.2
2662,Freedom,5.8
2663,Unforgiven,7.7
2664,Manderlay,6.9
2665,Slumdog Millionaire,7.6
2666,Fatal Attraction,6.6
2667,Pretty Woman,7.0
2668,Crocodile Dundee II,5.5
2669,Broken Horses,5.0
2670,Born on the Fourth of July,6.7
2671,Cool Runnings,6.8
2672,My Bloody Valentine,5.3
2673,Stomp the Yard,6.1
2674,The Spy Who Loved Me,6.6
2675,Urban Legend,5.6
2676,Good Deeds,6.2
2677,White Fang,6.5
2678,Superstar,5.1
2679,The Iron Lady,6.2
2680,Jonah: A VeggieTales Movie,6.4
2681,Poetic Justice,6.9
2682,All About the Benjamins,5.8
2683,Vampire in Brooklyn,4.5
2684,Exorcist II: The Heretic,4.5
2685,An American Haunting,5.3
2686,My Boss's Daughter,4.4
2687,A Perfect Getaway,6.2
2688,Our Family Wedding,5.7
2689,Dead Man on Campus,5.6
2690,Tea with Mussolini,5.8
2691,Thinner,5.5
2692,"New York, New York",6.1
2693,Crooklyn,6.7
2694,I Think I Love My Wife,5.0
2695,Jason X,4.5
2696,Bobby,6.4
2697,Head Over Heels,5.3
2698,Fun Size,5.5
2699,The Diving Bell and the Butterfly,7.4
2700,Little Children,6.9
2701,Gossip,5.5
2702,A Walk on the Moon,6.2
2703,Catch a Fire,6.4
2704,Soul Survivors,4.4
2705,Jefferson in Paris,5.2
2706,Easy Virtue,6.3
2707,Caravans,5.8
2708,Mr. Turner,6.3
2709,Wild Grass,5.8
2710,Amen.,7.1
2711,Reign of Assassins,6.7
2712,The Lucky Ones,6.3
2713,Margaret,6.1
2714,Stan Helsing,4.0
2715,Flipped,7.4
2716,Brokeback Mountain,7.5
2717,Clueless,6.9
2718,Far from Heaven,6.9
2719,Hot Tub Time Machine 2,5.0
2720,Quills,6.8
2721,Seven Psychopaths,6.7
2722,The Caveman's Valentine,6.0
2723,Downfall,7.7
2724,The Sea Inside,7.2
2725,Under the Skin,6.0
2726,"Good Morning, Vietnam",7.1
2727,The Last Godfather,4.7
2728,Justin Bieber: Never Say Never,4.8
2729,Black Swan,7.3
2730,The Godfather: Part II,8.3
2731,Save the Last Dance,6.3
2732,A Nightmare on Elm Street 4: The Dream Master,5.8
2733,Miracles from Heaven,6.7
2734,"Dude, Where’s My Car?",5.2
2735,Young Guns,6.6
2736,St. Vincent,7.1
2737,About Last Night,6.0
2738,10 Things I Hate About You,7.3
2739,The New Guy,5.7
2740,National Lampoon's Loaded Weapon 1,5.7
2741,The Shallows,6.2
2742,The Butterfly Effect,7.3
2743,Snow Day,4.8
2744,This Christmas,7.1
2745,Baby Geniuses,3.3
2746,The Big Hit,6.1
2747,Harriet the Spy,5.7
2748,Child's Play 2,5.8
2749,No Good Deed,5.6
2750,The Mist,6.7
2751,Ex Machina,7.6
2752,Being John Malkovich,7.3
2753,Two Can Play That Game,6.6
2754,Earth to Echo,5.7
2755,Crazy/Beautiful,6.6
2756,Letters from Iwo Jima,7.2
2757,The Astronaut Farmer,6.2
2758,Woo,5.5
2759,Room,8.1
2760,Dirty Work,6.5
